descriptor-temperature	descriptor-logPressure	dCO2_g/dCO_s	dCO2_g/dO_s	dCO2_g/dO-CO_s	dCO2_g/dO-O_s	dCO_g/dCO_s	dCO_g/dO_s	dCO_g/dO-CO_s	dCO_g/dO-O_s	dO2_g/dCO_s	dO2_g/dO_s	dO2_g/dO-CO_s	dO2_g/dO-O_s
957.1428571428571	-0.9285714285714288	0.0	0.0	0.0	0.0	4.299799493603406e-45	-5.519580973778035e-43	-5.07300121116646e-46	-1.2083947974756602e-44	-8.599598987206812e-45	1.103916194755607e-42	1.014600242233292e-45	2.4167895949513203e-44
957.1428571428571	-1.7142857142857144	0.0	0.0	0.0	0.0	2.3933079869876146e-44	-4.504862696696834e-42	-2.896340286988575e-45	-6.79433582200532e-44	-4.786615973975229e-44	9.009725393393668e-42	5.79268057397715e-45	1.358867164401064e-43
957.1428571428571	-2.5	0.0	0.0	0.0	0.0	6.990891260154713e-46	-2.712778758572672e-41	-6.954442465559717e-46	-1.477187142505523e-44	-1.3981782520309426e-45	5.425557517145344e-41	1.3908884931119435e-45	2.954374285011046e-44
957.1428571428571	-3.2857142857142856	0.0	0.0	0.0	0.0	2.322992446268038e-41	-9.433939070256544e-41	-4.543031119564508e-42	-6.389356395768577e-41	-4.645984892536076e-41	1.886787814051309e-40	9.086062239129016e-42	1.2778712791537155e-40
957.1428571428571	-4.071428571428571	0.0	0.0	0.0	0.0	4.218807422302904e-40	2.793936933772748e-40	-2.5487565120587183e-40	-1.159480580322708e-39	-8.437614844605808e-40	-5.587873867545496e-40	5.097513024117437e-40	2.318961160645416e-39
957.1428571428571	-4.857142857142858	0.0	0.0	0.0	0.0	3.2263451484331664e-40	3.3664930725310075e-40	-1.1614188162521197e-39	-8.866805952167196e-40	-6.452690296866333e-40	-6.732986145062015e-40	2.3228376325042393e-39	1.7733611904334392e-39
957.1428571428571	-5.642857142857142	0.0	0.0	0.0	0.0	4.83950075364283e-41	-7.176664618462839e-40	-1.937664978270709e-39	-1.3300082945571203e-40	-9.67900150728566e-41	1.4353329236925678e-39	3.875329956541418e-39	2.6600165891142406e-40
957.1428571428571	-6.428571428571429	0.0	0.0	0.0	0.0	4.241570893319233e-42	-3.997827592157878e-39	-3.347313782316023e-39	-1.165681352937114e-41	-8.483141786638466e-42	7.995655184315756e-39	6.694627564632046e-39	2.331362705874228e-41
957.1428571428571	-7.214285714285714	0.0	0.0	0.0	0.0	3.1182712633366682e-43	-1.2724264693791866e-38	-6.877400148780512e-39	-8.569723091392232e-43	-6.2365425266733364e-43	2.5448529387583733e-38	1.3754800297561025e-38	1.7139446182784464e-42
957.1428571428571	-8.0	0.0	0.0	0.0	0.0	2.1519852766392009e-44	-3.460329766329847e-38	-1.5662218679730855e-38	-5.914146922581055e-44	-4.3039705532784017e-44	6.920659532659694e-38	3.132443735946171e-38	1.182829384516211e-43
914.2857142857142	3.0	0.0	0.0	0.0	0.0	-9.425151802430816e-104	1.7829146824024863e-98	1.3974195007512322e-103	1.5629362390836266e-101	1.8850303604861632e-103	-3.5658293648049726e-98	-2.794839001545678e-103	-3.125872478167253e-101
914.2857142857142	2.2142857142857135	0.0	0.0	0.0	0.0	9.83664300519501e-47	2.1383783819292183e-98	2.0484285224670153e-103	2.291168850366542e-101	-1.967328601039002e-46	-4.276756763858435e-98	-4.0968570449124233e-103	-4.582337700732921e-101
914.2857142857142	1.4285714285714288	0.0	0.0	0.0	0.0	-1.0904453342348871e-45	-1.1881231757620939e-45	1.302779669766993e-46	-3.597681392027275e-46	2.1808906684697743e-45	2.3762463515241878e-45	-2.605559339533986e-46	7.19536278405455e-46
914.2857142857142	0.6428571428571423	0.0	0.0	0.0	0.0	-1.0834505993550854e-45	-1.17268639673356e-45	1.2858661058325552e-46	3.0708042910824816e-45	2.1669011987101708e-45	2.34537279346712e-45	-2.5717322116651103e-46	-6.141608582164963e-45
914.2857142857142	-0.14285714285714324	0.0	0.0	0.0	0.0	-9.627262054106938e-46	-1.0410056783035223e-45	1.141555469741838e-46	2.7259839948235087e-45	1.9254524108213876e-45	2.0820113566070446e-45	-2.283110939483676e-46	-5.4519679896470173e-45
914.2857142857142	-0.9285714285714288	0.0	0.0	0.0	0.0	-2.2280672520007866e-46	3.8338801549323115e-44	2.6434653839339724e-47	6.309800681397423e-46	4.456134504001573e-46	-7.667760309864623e-44	-5.286930767867945e-47	-1.2619601362794846e-45
914.2857142857142	-1.7142857142857144	0.0	0.0	0.0	0.0	3.9454969337979957e-45	-7.270834311732473e-43	-4.70280599048955e-46	-1.1196342252260123e-44	-7.890993867595991e-45	1.4541668623464946e-42	9.4056119809791e-46	2.2392684504520246e-44
914.2857142857142	-2.5	0.0	0.0	0.0	0.0	1.8044065998174562e-44	-5.3563912365672e-42	-2.226114798128133e-45	-5.217918237668581e-44	-3.6088131996349124e-44	1.07127824731344e-41	4.452229596256266e-45	1.0435836475337163e-43
914.2857142857142	-3.2857142857142856	0.0	0.0	0.0	0.0	2.2343420316025565e-44	-3.1732184231617503e-41	-3.5864296938708133e-45	-7.648382078691737e-44	-4.468684063205113e-44	6.346436846323501e-41	7.172859387741627e-45	1.5296764157383475e-43
914.2857142857142	-4.071428571428571	0.0	0.0	0.0	0.0	2.9424911421531547e-41	-1.0707135490901958e-40	-5.791540404920564e-42	-8.092652048659794e-41	-5.884982284306309e-41	2.1414270981803915e-40	1.1583080809841128e-41	1.6185304097319588e-40
914.2857142857142	-4.857142857142858	0.0	0.0	0.0	0.0	4.957336834255508e-40	3.341339740109362e-40	-3.0345271778531468e-40	-1.3624509875716052e-39	-9.914673668511015e-40	-6.682679480218724e-40	6.0690543557062936e-40	2.7249019751432104e-39
914.2857142857142	-5.642857142857142	0.0	0.0	0.0	0.0	3.676338358199151e-40	3.828475708898046e-40	-1.3480083551956442e-39	-1.0103496119214956e-39	-7.352676716398301e-40	-7.656951417796093e-40	2.6960167103912884e-39	2.020699223842991e-39
914.2857142857142	-6.428571428571429	0.0	0.0	0.0	0.0	5.454163386683828e-41	-8.439691236968923e-40	-2.2369447332952245e-39	-1.498931889250148e-40	-1.0908326773367656e-40	1.6879382473937846e-39	4.473889466590449e-39	2.997863778500296e-40
914.2857142857142	-7.214285714285714	0.0	0.0	0.0	0.0	4.7622781608953105e-42	-4.644277572281138e-39	-3.86567772468663e-39	-1.308783678578155e-41	-9.524556321790621e-42	9.288555144562276e-39	7.73135544937326e-39	2.61756735715631e-41
914.2857142857142	-8.0	0.0	0.0	0.0	0.0	3.496199018332673e-43	-1.4740284645665386e-38	-7.948188575222974e-39	-9.6083550111273e-43	-6.992398036665346e-43	2.948056929133077e-38	1.5896377150445948e-38	1.92167100222546e-42
871.4285714285713	3.0	0.0	0.0	0.0	0.0	3.644976574086709e-102	8.781580141279318e-99	2.3532496828954868e-104	2.6313813256545075e-102	-7.289953148168524e-102	-1.7563160282558627e-98	-4.7064993657909737e-104	-5.262762651305905e-102
871.4285714285713	2.2142857142857135	0.0	0.0	0.0	0.0	1.98010155877828e-46	1.3528321327276098e-98	5.822092983912473e-104	6.509788905487896e-102	-3.96020311755656e-46	-2.705664265455222e-98	-1.1644185968648717e-103	-1.3019577810975793e-101
871.4285714285713	1.4285714285714288	0.0	0.0	0.0	0.0	-5.744570332986084e-46	-6.497564185664611e-46	7.127203969864517e-47	-1.967486725378817e-46	1.1489140665972167e-45	1.2995128371329222e-45	-1.4254407939729034e-46	3.934973450757634e-46
871.4285714285713	0.6428571428571423	0.0	0.0	0.0	0.0	-5.957695306040015e-46	-6.559163172177548e-46	7.1947684711657715e-47	1.717652219926102e-45	1.191539061208003e-45	1.3118326344355096e-45	-1.4389536942331543e-46	-3.435304439852204e-45
871.4285714285713	-0.14285714285714324	0.0	0.0	0.0	0.0	-5.85730841905395e-46	-6.424217536002217e-46	7.046812718412217e-47	1.6823138438848067e-45	1.17146168381079e-45	1.2848435072004435e-45	-1.4093625436824433e-46	-3.3646276877696133e-45
871.4285714285713	-0.9285714285714288	0.0	0.0	0.0	0.0	-5.033453167651043e-46	1.2608871799270363e-43	6.052810444635289e-47	1.444925273954841e-45	1.0066906335302086e-45	-2.5217743598540726e-43	-1.2105620889270578e-46	-2.889850547909682e-45
871.4285714285713	-1.7142857142857144	0.0	0.0	0.0	0.0	-3.695205787176605e-48	9.362445811469056e-46	4.44689554364869e-49	1.0611739141929106e-47	7.39041157435321e-48	-1.8724891622938112e-45	-8.89379108729738e-49	-2.1223478283858211e-47
871.4285714285713	-2.5	0.0	0.0	0.0	0.0	2.8000725190716074e-45	-7.62160969727001e-43	-3.387817477128087e-46	-8.066450040007585e-45	-5.600145038143215e-45	1.524321939454002e-42	6.775634954256174e-46	1.613290008001517e-44
871.4285714285713	-3.2857142857142856	0.0	0.0	0.0	0.0	1.1943594966217727e-44	-5.38171312524047e-42	-1.5083673786844165e-45	-3.5434605199252044e-44	-2.3887189932435455e-44	1.076342625048094e-41	3.016734757368833e-45	7.086921039850409e-44
871.4285714285713	-4.071428571428571	0.0	0.0	0.0	0.0	1.9378093539664262e-44	-3.193306307814283e-41	-3.1622010732732566e-45	-6.850207442102816e-44	-3.8756187079328525e-44	6.386612615628566e-41	6.324402146546513e-45	1.3700414884205633e-43
871.4285714285713	-4.857142857142858	0.0	0.0	0.0	0.0	2.4561611035760966e-41	-1.191732186459785e-40	-4.554222160001031e-42	-6.756463933246567e-41	-4.912322207152193e-41	2.38346437291957e-40	9.108444320002062e-42	1.3512927866493134e-40
871.4285714285713	-5.642857142857142	0.0	0.0	0.0	0.0	5.229610528904117e-40	3.1998094092525267e-40	-2.83048481990046e-40	-1.4372922475755095e-39	-1.0459221057808235e-39	-6.3996188185050534e-40	5.66096963980092e-40	2.874584495151019e-39
871.4285714285713	-6.428571428571429	0.0	0.0	0.0	0.0	4.763457270933873e-40	4.998447671326037e-40	-1.468662609326987e-39	-1.3091180865060243e-39	-9.526914541867746e-40	-9.996895342652074e-40	2.937325218653974e-39	2.6182361730120487e-39
871.4285714285713	-7.214285714285714	0.0	0.0	0.0	0.0	7.624983890007853e-41	-7.823274635854487e-40	-2.4918751230192498e-39	-2.0955246192380826e-40	-1.5249967780015705e-40	1.5646549271708975e-39	4.9837502460384995e-39	4.191049238476165e-40
871.4285714285713	-8.0	0.0	0.0	0.0	0.0	6.817419056657588e-42	-4.803906586287668e-39	-4.236380526744318e-39	-1.873583829318703e-41	-1.3634838113315177e-41	9.607813172575337e-39	8.472761053488636e-39	3.747167658637406e-41
828.5714285714286	3.0	0.0	0.0	0.0	0.0	2.0808192855063945e-101	2.5842512209191514e-99	1.3474191115065876e-105	1.5053406671535729e-103	-4.161638571011858e-101	-5.168502441838293e-99	-2.6948382132224577e-105	-3.0106813343071458e-103
828.5714285714286	2.2142857142857135	0.0	0.0	0.0	0.0	-2.5060771979203623e-46	-2.629834096583096e-46	-1.0545374347684693e-46	-7.963235956008628e-47	5.012154395840725e-46	5.259668193166192e-46	2.1090748695369386e-46	1.5926471912017256e-46
828.5714285714286	1.4285714285714288	0.0	0.0	0.0	0.0	-2.4332292817041048e-46	-3.2409921588292238e-46	3.5559600718204296e-47	-9.813845415520268e-47	4.8664585634082096e-46	6.4819843176584475e-46	-7.111920143640859e-47	1.9627690831040536e-46
828.5714285714286	0.6428571428571423	0.0	0.0	0.0	0.0	-2.9333397380389688e-46	-3.3552997328882768e-46	3.6813643661660016e-47	8.786775076422536e-46	5.8666794760779376e-46	6.7105994657765536e-46	-7.362728732332003e-47	-1.7573550152845072e-45
828.5714285714286	-0.14285714285714324	0.0	0.0	0.0	0.0	-2.988433850467092e-46	-3.3615256627018814e-46	3.6881974233840987e-47	8.803078858727557e-46	5.976867700934184e-46	6.723051325403763e-46	-7.376394846768197e-47	-1.7606157717455115e-45
828.5714285714286	-0.9285714285714288	0.0	0.0	0.0	0.0	-2.9262684818465685e-46	1.1308528637545092e-43	3.602350966630214e-47	8.598119381480383e-46	5.852536963693137e-46	-2.2617057275090184e-43	-7.204701933260428e-47	-1.7196238762960765e-45
828.5714285714286	-1.7142857142857144	0.0	0.0	0.0	0.0	-2.484903599167369e-46	9.614106349868808e-44	3.058203847280135e-47	7.299034973385774e-46	4.969807198334738e-46	-1.9228212699737615e-43	-6.11640769456027e-47	-1.459806994677155e-45
828.5714285714286	-2.5	0.0	0.0	0.0	0.0	1.8791783196563685e-47	-7.344417693012094e-45	-2.3146850904322264e-48	-5.523042276446921e-47	-3.758356639312737e-47	1.4688835386024189e-44	4.629370180864453e-48	1.1046084552893843e-46
828.5714285714286	-3.2857142857142856	0.0	0.0	0.0	0.0	1.533475267924041e-45	-6.385395952748862e-43	-1.8998079357664023e-46	-4.525949596966056e-45	-3.066950535848082e-45	1.2770791905497724e-42	3.7996158715328045e-46	9.051899193932112e-45
828.5714285714286	-4.071428571428571	0.0	0.0	0.0	0.0	6.911955655189956e-45	-4.468241245271771e-42	-8.971931875477982e-46	-2.117024676843047e-44	-1.3823911310379912e-44	8.936482490543542e-42	1.7943863750955963e-45	4.234049353686094e-44
