descriptor-temperature	descriptor-logPressure	CO_s	O_s
785.7142857142857	1.4285714285714288	0.030592874661633514	0.004026501168080236
785.7142857142857	0.6428571428571423	0.005142339450961266	0.004132211772762265
785.7142857142857	-0.14285714285714324	0.0008458979702673211	0.004150057307443088
785.7142857142857	-0.9285714285714288	0.00013864716816604634	0.004152994672527337
785.7142857142857	-1.7142857142857144	2.271156559621754e-05	0.004153474683646963
785.7142857142857	-2.5	3.7199837201665824e-06	0.00415354419071337
785.7142857142857	-3.2857142857142856	6.092957228761906e-07	0.00415349986985001
785.7142857142857	-4.071428571428571	9.979624887976004e-08	0.004153152573329775
785.7142857142857	-4.857142857142858	1.6345601140285635e-08	0.004151022166587993
785.7142857142857	-5.642857142857142	2.6772704820675717e-09	0.00413810736841485
785.7142857142857	-6.428571428571429	4.385417054421644e-10	0.004062581795862006
