descriptor-temperature	descriptor-logPressure	CO2_g	CO_g	O2_g
785.7142857142857	-4.071428571428571	0.1634233470499545	0.0	0.0
785.7142857142857	-4.857142857142858	0.026753336206499997	0.0	0.0
785.7142857142857	-5.642857142857142	0.004368335662565525	0.0	0.0
785.7142857142857	-6.428571428571429	0.000702481702884727	0.0	0.0
785.7142857142857	-7.214285714285714	0.00010466895276926311	0.0	0.0
785.7142857142857	-8.0	1.2448385193917348e-05	0.0	0.0
742.8571428571429	3.0	105205.6498567837	0.0	0.0
742.8571428571429	2.2142857142857135	154533.62492275832	0.0	0.0
742.8571428571429	1.4285714285714288	55834.04303954617	0.0	0.0
742.8571428571429	0.6428571428571423	10792.321643081334	0.0	0.0
742.8571428571429	-0.14285714285714324	1818.742547423578	0.0	0.0
742.8571428571429	-0.9285714285714288	299.2953818075726	0.0	0.0
